sample	gene	chrom	gene_start	gene_end	tsg	seg	median_cnlr_seg	segclust	seg_start	seg_end	cf.em	tcn.em	lcn.em	cf	tcn	lcn	seg_length	mcn	genes_on_seg	gene_snps	gene_het_snps	spans_segs	cn_state	filter
HN002-T2	AADACL2	3	151451704	151479127	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	110	1	FALSE	HETLOSS	PASS
HN002-T2	AADACL3	1	12776118	12788726	FALSE	2	-0.02014685956208	6	841100	47010406	1	2	1	1	2	1	46169306	1	662	51	4	FALSE	DIPLOID	PASS
HN002-T2	AADACL4	1	12704566	12727097	FALSE	2	-0.02014685956208	6	841100	47010406	1	2	1	1	2	1	46169306	1	662	89	5	FALSE	DIPLOID	PASS
HN002-T2	AADAT	4	170981373	171012850	FALSE	8	-0.0435342877445872	3	10720375	191032900	1	2	1	1	2	1	180312525	1	635	126	5	FALSE	DIPLOID	PASS
HN002-T2	AAGAB	15	67493371	67547533	FALSE	29	-0.0343738585752042	3	20000538	102400037	1	2	1	1	2	1	82399499	1	617	217	5	FALSE	DIPLOID	PASS
HN002-T2	AAK1	2	69685129	69901481	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	866	131	FALSE	DIPLOID	PASS
HN002-T2	AAMDC	11	77532155	77629478	FALSE	23	-0.0344484662470347	4	70200	134945765	1	2	1	1	2	1	134875565	1	1327	389	9	FALSE	DIPLOID	PASS
HN002-T2	AAMP	2	219128846	219134980	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	24	4	FALSE	DIPLOID	PASS
HN002-T2	AANAT	17	74449433	74466199	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	68	10	FALSE	DIPLOID	PASS
HN002-T2	AAR2	20	34824381	34858840	FALSE	34	-0.0276157496237487	6	60500	62964366	1	2	1	1	2	1	62903866	1	554	138	10	FALSE	DIPLOID	PASS
HN002-T2	AARD	8	117950438	117956726	FALSE	18	0.484070192086309	13	23050	146301250	0.866057241718663	3	1	0.866057241718663	3	1	146278200	2	694	26	0	FALSE	GAIN	PASS
HN002-T2	AARS	16	70286198	70323446	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	149	3	FALSE	DIPLOID	PASS
HN002-T2	AARS2	6	44267391	44281063	FALSE	14	0.48608743822491	13	63850	78860650	0.866057241718663	3	1	0.866057241718663	3	1	78796800	2	657	54	0	FALSE	GAIN	PASS
HN002-T2	AARSD1	17	41102543	41116515	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	57	0	FALSE	DIPLOID	PASS
HN002-T2	AASDH	4	57204453	57253674	FALSE	8	-0.0435342877445872	3	10720375	191032900	1	2	1	1	2	1	180312525	1	635	197	4	FALSE	DIPLOID	PASS
HN002-T2	AASDHPPT	11	105946228	105969437	FALSE	23	-0.0344484662470347	4	70200	134945765	1	2	1	1	2	1	134875565	1	1327	93	14	FALSE	DIPLOID	PASS
HN002-T2	AASS	7	121715701	121784334	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	274	40	FALSE	GAIN	PASS
HN002-T2	AATF	17	35306175	35414171	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	433	4	FALSE	DIPLOID	PASS
HN002-T2	AATK	17	79091095	79139877	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	196	67	FALSE	DIPLOID	PASS
HN002-T2	ABAT	16	8768422	8878432	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	440	96	FALSE	DIPLOID	PASS
HN002-T2	ABCA1	9	107543283	107690518	FALSE	19	-0.814486322870441	2	10500	124020925	0.832694036054616	1	0	0.832694036054616	1	0	124010425	1	523	587	88	FALSE	HETLOSS	PASS
HN002-T2	ABCA10	17	67143355	67240987	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	390	16	FALSE	DIPLOID	PASS
HN002-T2	ABCA12	2	215796266	216003151	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	828	77	FALSE	DIPLOID	PASS
HN002-T2	ABCA13	7	48211055	48687092	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	1902	340	FALSE	GAIN	PASS
HN002-T2	ABCA2	9	139901679	139923374	FALSE	20	-0.787942861713592	2	124021254	140806250	0.832694036054616	1	0	0.832694036054616	1	0	16784996	1	286	85	9	FALSE	HETLOSS	PASS
HN002-T2	ABCA3	16	2325882	2390747	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	260	36	FALSE	DIPLOID	PASS
HN002-T2	ABCA4	1	94458391	94586688	FALSE	3	-0.0376376304701469	3	47010700	249222325	1	2	1	1	2	1	202211625	1	1423	513	118	FALSE	DIPLOID	PASS
HN002-T2	ABCA5	17	67240452	67323385	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	331	7	FALSE	DIPLOID	PASS
HN002-T2	ABCA6	17	67074843	67138029	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	252	4	FALSE	DIPLOID	PASS
HN002-T2	ABCA7	19	1040100	1065571	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	98	2	FALSE	DIPLOID	PASS
HN002-T2	ABCA8	17	66863433	66951533	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	353	96	FALSE	DIPLOID	PASS
HN002-T2	ABCA9	17	66970629	67057205	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	346	41	FALSE	DIPLOID	PASS
HN002-T2	ABCB1	7	87132949	87342639	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	837	65	FALSE	GAIN	PASS
HN002-T2	ABCB10	1	229652329	229694442	FALSE	3	-0.0376376304701469	3	47010700	249222325	1	2	1	1	2	1	202211625	1	1423	168	3	FALSE	DIPLOID	PASS
HN002-T2	ABCB11	2	169772008	169887834	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	464	121	FALSE	DIPLOID	PASS
HN002-T2	ABCB4	7	87031013	87109751	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	314	61	FALSE	GAIN	PASS
HN002-T2	ABCB5	7	20654830	20816658	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	647	2	FALSE	GAIN	PASS
HN002-T2	ABCB6	2	220074488	220083739	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	37	0	FALSE	DIPLOID	PASS
HN002-T2	ABCB7	23	74271389	74376567	FALSE	37	0.817990165221837	14	60800	105171550	0.793183883159547	2	NA	0.793183883159547	2	NA	105110750	NA	525	401	0	FALSE	INDETERMINATE	PASS
HN002-T2	ABCB8	7	150725509	150744869	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	77	0	FALSE	GAIN	PASS
HN002-T2	ABCB9	12	123405498	123466196	FALSE	26	-0.0235805141927597	10	107758650	133840909	1	2	1	1	2	1	26082259	1	231	243	6	FALSE	DIPLOID	PASS
HN002-T2	ABCC1	16	16043434	16236931	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	773	198	FALSE	DIPLOID	PASS
HN002-T2	ABCC10	6	43395104	43418168	FALSE	14	0.48608743822491	13	63850	78860650	0.866057241718663	3	1	0.866057241718663	3	1	78796800	2	657	93	0	FALSE	GAIN	PASS
HN002-T2	ABCC11	16	48200821	48281479	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	324	69	FALSE	DIPLOID	PASS
HN002-T2	ABCC12	16	48114917	48189929	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	300	2	FALSE	DIPLOID	PASS
HN002-T2	ABCC2	10	101542397	101612351	FALSE	22	-0.860634818203363	1	60700	135436800	0.866057241718663	1	0	0.866057241718663	1	0	135376100	1	751	279	2	FALSE	HETLOSS	PASS
HN002-T2	ABCC3	17	48712138	48769613	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	230	19	FALSE	DIPLOID	PASS
HN002-T2	ABCC4	13	95672083	95953729	FALSE	27	-0.0405463752888811	5	19020550	115095705	1	2	1	1	2	1	96075155	1	326	1125	219	FALSE	DIPLOID	PASS
HN002-T2	ABCC5	3	183637722	183735803	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	392	86	FALSE	HETLOSS	PASS
HN002-T2	ABCC6	16	16242785	16317379	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	296	38	FALSE	DIPLOID	PASS
HN002-T2	ABCC8	11	17414045	17498426	FALSE	23	-0.0344484662470347	4	70200	134945765	1	2	1	1	2	1	134875565	1	1327	338	41	FALSE	DIPLOID	PASS
HN002-T2	ABCC9	12	21950335	22095463	FALSE	25	-0.0405661303462767	3	7402590	107758250	1	2	1	1	2	1	100355660	1	729	581	116	FALSE	DIPLOID	PASS
HN002-T2	ABCD1	23	152990323	153010216	FALSE	39	0.81714594916093	14	105174500	155238600	0.793183883159547	2	NA	0.793183883159547	2	NA	50064100	NA	328	61	0	FALSE	INDETERMINATE	PASS
HN002-T2	ABCD2	12	39943835	40013553	FALSE	25	-0.0405661303462767	3	7402590	107758250	1	2	1	1	2	1	100355660	1	729	278	16	FALSE	DIPLOID	PASS
HN002-T2	ABCD3	1	94884011	94984222	FALSE	3	-0.0376376304701469	3	47010700	249222325	1	2	1	1	2	1	202211625	1	1423	400	42	FALSE	DIPLOID	PASS
HN002-T2	ABCD4	14	74752126	74769759	FALSE	28	-0.0364718242722966	5	19000500	107288850	1	2	1	1	2	1	88288350	1	630	70	4	FALSE	DIPLOID	PASS
HN002-T2	ABCE1	4	146019084	146050331	FALSE	8	-0.0435342877445872	3	10720375	191032900	1	2	1	1	2	1	180312525	1	635	125	3	FALSE	DIPLOID	PASS
HN002-T2	ABCF1	6	30539153	30564956	FALSE	14	0.48608743822491	13	63850	78860650	0.866057241718663	3	1	0.866057241718663	3	1	78796800	2	657	103	1	FALSE	GAIN	PASS
HN002-T2	ABCF2	7	150909576	150924316	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	59	15	FALSE	GAIN	PASS
HN002-T2	ABCF3	3	183903811	183911800	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	32	0	FALSE	HETLOSS	PASS
HN002-T2	ABCG1	21	43619799	43717354	FALSE	35	-0.0366693515025574	3	9411900	48099782	1	2	1	1	2	1	38687882	1	244	389	100	FALSE	DIPLOID	PASS
HN002-T2	ABCG2	4	89011416	89152474	FALSE	8	-0.0435342877445872	3	10720375	191032900	1	2	1	1	2	1	180312525	1	635	563	44	FALSE	DIPLOID	PASS
HN002-T2	ABCG4	11	119019722	119033362	FALSE	23	-0.0344484662470347	4	70200	134945765	1	2	1	1	2	1	134875565	1	1327	54	7	FALSE	DIPLOID	PASS
HN002-T2	ABCG5	2	44039611	44066004	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	105	3	FALSE	DIPLOID	PASS
HN002-T2	ABCG8	2	44059081	44110126	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	204	59	FALSE	DIPLOID	PASS
HN002-T2	ABHD1	2	27346657	27353680	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	28	6	FALSE	DIPLOID	PASS
HN002-T2	ABHD10	3	111697857	111712210	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	58	0	FALSE	HETLOSS	PASS
HN002-T2	ABHD11	7	73150424	73153197	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	11	2	FALSE	GAIN	PASS
HN002-T2	ABHD12	20	25275379	25371619	FALSE	34	-0.0276157496237487	6	60500	62964366	1	2	1	1	2	1	62903866	1	554	384	27	FALSE	DIPLOID	PASS
HN002-T2	ABHD12B	14	51338878	51371688	FALSE	28	-0.0364718242722966	5	19000500	107288850	1	2	1	1	2	1	88288350	1	630	132	6	FALSE	DIPLOID	PASS
HN002-T2	ABHD13	13	108870727	108886603	FALSE	27	-0.0405463752888811	5	19020550	115095705	1	2	1	1	2	1	96075155	1	326	64	2	FALSE	DIPLOID	PASS
HN002-T2	ABHD14A	3	52005442	52015215	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	39	0	FALSE	HETLOSS	PASS
HN002-T2	ABHD14A-ACY1	3	52008722	52023199	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	57	0	FALSE	HETLOSS	PASS
HN002-T2	ABHD14B	3	52002526	52017425	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	60	0	FALSE	HETLOSS	PASS
HN002-T2	ABHD15	17	27887565	27894155	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	26	4	FALSE	DIPLOID	PASS
HN002-T2	ABHD16A	6	31654726	31671221	FALSE	14	0.48608743822491	13	63850	78860650	0.866057241718663	3	1	0.866057241718663	3	1	78796800	2	657	66	3	FALSE	GAIN	PASS
HN002-T2	ABHD16B	20	62492851	62494341	FALSE	34	-0.0276157496237487	6	60500	62964366	1	2	1	1	2	1	62903866	1	554	5	0	FALSE	DIPLOID	PASS
HN002-T2	ABHD17A	19	1876809	1885546	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	35	1	FALSE	DIPLOID	PASS
HN002-T2	ABHD17B	9	74477368	74525847	FALSE	19	-0.814486322870441	2	10500	124020925	0.832694036054616	1	0	0.832694036054616	1	0	124010425	1	523	194	1	FALSE	HETLOSS	PASS
HN002-T2	ABHD17C	15	80972025	81047962	FALSE	29	-0.0343738585752042	3	20000538	102400037	1	2	1	1	2	1	82399499	1	617	304	71	FALSE	DIPLOID	PASS
HN002-T2	ABHD18	4	128886461	128961082	FALSE	8	-0.0435342877445872	3	10720375	191032900	1	2	1	1	2	1	180312525	1	635	298	17	FALSE	DIPLOID	PASS
HN002-T2	ABHD2	15	89630690	89745591	FALSE	29	-0.0343738585752042	3	20000538	102400037	1	2	1	1	2	1	82399499	1	617	460	43	FALSE	DIPLOID	PASS
HN002-T2	ABHD3	18	19230858	19284766	FALSE	32	-0.0383314816057619	3	10679	77999957	1	2	1	1	2	1	77989278	1	275	216	0	FALSE	DIPLOID	PASS
HN002-T2	ABHD4	14	23067146	23082121	FALSE	28	-0.0364718242722966	5	19000500	107288850	1	2	1	1	2	1	88288350	1	630	59	0	FALSE	DIPLOID	PASS
HN002-T2	ABHD5	3	43731600	43775863	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	178	1	FALSE	HETLOSS	PASS
HN002-T2	ABHD6	3	58223233	58281420	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	233	2	FALSE	HETLOSS	PASS
HN002-T2	ABHD8	19	17402940	17421045	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	72	9	FALSE	DIPLOID	PASS
HN002-T2	ABI1	10	27035522	27150016	FALSE	22	-0.860634818203363	1	60700	135436800	0.866057241718663	1	0	0.866057241718663	1	0	135376100	1	751	458	122	FALSE	HETLOSS	PASS
HN002-T2	ABI2	2	204192942	204312446	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	477	10	FALSE	DIPLOID	PASS
HN002-T2	ABI3	17	47287589	47300587	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	52	5	FALSE	DIPLOID	PASS
HN002-T2	ABI3BP	3	100468000	100712359	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	978	105	FALSE	HETLOSS	PASS
HN002-T2	ABL1	9	133589333	133763062	FALSE	20	-0.787942861713592	2	124021254	140806250	0.832694036054616	1	0	0.832694036054616	1	0	16784996	1	286	695	83	FALSE	HETLOSS	PASS
HN002-T2	ABL2	1	179068462	179198819	FALSE	3	-0.0376376304701469	3	47010700	249222325	1	2	1	1	2	1	202211625	1	1423	522	98	FALSE	DIPLOID	PASS
HN002-T2	ABLIM1	10	116190872	116444762	FALSE	22	-0.860634818203363	1	60700	135436800	0.866057241718663	1	0	0.866057241718663	1	0	135376100	1	751	1015	210	FALSE	HETLOSS	PASS
HN002-T2	ABLIM2	4	7967037	8160559	FALSE	7	-0.0173170622595446	11	596600	10719950	1	2	1	1	2	1	10123350	1	115	771	151	FALSE	DIPLOID	PASS
HN002-T2	ABLIM3	5	148521046	148640105	FALSE	13	-0.0323837400420792	4	130828649	180713424	1	2	1	1	2	1	49884775	1	455	477	26	FALSE	DIPLOID	PASS
HN002-T2	ABO	9	136125788	136150635	FALSE	20	-0.787942861713592	2	124021254	140806250	0.832694036054616	1	0	0.832694036054616	1	0	16784996	1	286	100	9	FALSE	HETLOSS	PASS
HN002-T2	ABR	17	906758	1133032	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	877	137	FALSE	DIPLOID	PASS
HN002-T2	ABRA	8	107771711	107782473	FALSE	18	0.484070192086309	13	23050	146301250	0.866057241718663	3	1	0.866057241718663	3	1	146278200	2	694	43	6	FALSE	GAIN	PASS
HN002-T2	ABRACL	6	139349819	139364439	FALSE	16	0.481943474434833	13	78866800	170921700	0.866057241718663	3	1	0.866057241718663	3	1	92054900	2	399	58	18	FALSE	GAIN	PASS
HN002-T2	ABRAXAS1	4	84380670	84444501	TRUE	8	-0.0435342877445872	3	10720375	191032900	1	2	1	1	2	1	180312525	1	635	255	70	FALSE	DIPLOID	PASS
HN002-T2	ABRAXAS2	10	126490354	126525239	FALSE	22	-0.860634818203363	1	60700	135436800	0.866057241718663	1	0	0.866057241718663	1	0	135376100	1	751	140	11	FALSE	HETLOSS	PASS
HN002-T2	ABT1	6	26597180	26600972	FALSE	14	0.48608743822491	13	63850	78860650	0.866057241718663	3	1	0.866057241718663	3	1	78796800	2	657	15	0	FALSE	GAIN	PASS
HN002-T2	ABTB1	3	127391778	127399763	FALSE	5	-0.864854003854526	1	60800	197900735	0.866057241718663	1	0	0.866057241718663	1	0	197839935	1	1081	32	0	FALSE	HETLOSS	PASS
HN002-T2	ABTB2	11	34172535	34379555	FALSE	23	-0.0344484662470347	4	70200	134945765	1	2	1	1	2	1	134875565	1	1327	827	104	FALSE	DIPLOID	PASS
HN002-T2	AC000003.2	17	10048831	10050277	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	5	2	FALSE	DIPLOID	PASS
HN002-T2	AC000120.2	7	91741473	91808825	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	269	58	FALSE	GAIN	PASS
HN002-T2	AC000120.3	7	91761088	91875238	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	455	58	FALSE	GAIN	PASS
HN002-T2	AC002094.3	17	26691310	26695033	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	16	3	FALSE	DIPLOID	PASS
HN002-T2	AC002310.4	16	30545548	30569600	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	96	7	FALSE	DIPLOID	PASS
HN002-T2	AC002310.5	16	30537244	30546173	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	36	2	FALSE	DIPLOID	PASS
HN002-T2	AC002451.1	7	95171457	95173854	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	10	2	FALSE	GAIN	PASS
HN002-T2	AC002472.1	22	21358030	21360736	FALSE	36	-0.0212859013700162	9	16050500	51209250	1	2	1	1	2	1	35158750	1	449	11	4	FALSE	DIPLOID	PASS
HN002-T2	AC002985.1	19	19017822	19045206	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	110	23	FALSE	DIPLOID	PASS
HN002-T2	AC002996.1	12	112191694	112229222	FALSE	26	-0.0235805141927597	10	107758650	133840909	1	2	1	1	2	1	26082259	1	231	150	18	FALSE	DIPLOID	PASS
HN002-T2	AC003002.1	19	57874934	57909952	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	139	18	FALSE	DIPLOID	PASS
HN002-T2	AC003002.2	19	57905551	57949825	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	178	18	FALSE	DIPLOID	PASS
HN002-T2	AC003002.3	19	57901252	57931362	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	119	13	FALSE	DIPLOID	PASS
HN002-T2	AC003005.1	19	57999086	58016749	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	71	6	FALSE	DIPLOID	PASS
HN002-T2	AC003006.1	19	58193413	58264943	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	286	48	FALSE	DIPLOID	PASS
HN002-T2	AC003043.1	17	42335297	42355825	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	82	11	FALSE	DIPLOID	PASS
HN002-T2	AC003688.1	17	7150148	7165408	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	60	12	FALSE	DIPLOID	PASS
HN002-T2	AC004076.1	19	57949338	57988904	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	159	51	FALSE	DIPLOID	PASS
HN002-T2	AC004080.3	7	27203154	27219632	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	66	3	FALSE	GAIN	PASS
HN002-T2	AC004233.2	16	3038257	3052017	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	55	10	FALSE	DIPLOID	PASS
HN002-T2	AC004528.1	19	999601	999952	FALSE	33	-0.0182399316164173	6	60800	59097977	1	2	1	1	2	1	59037177	1	1488	1	1	FALSE	DIPLOID	PASS
HN002-T2	AC004687.2	17	56422567	56494956	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	289	9	FALSE	DIPLOID	PASS
HN002-T2	AC004691.2	7	30891889	30963427	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	285	13	FALSE	GAIN	PASS
HN002-T2	AC004754.1	16	299546	319942	FALSE	30	-0.0283610456754129	6	60600	90163275	1	2	1	1	2	1	90102675	1	870	81	4	FALSE	DIPLOID	PASS
HN002-T2	AC004805.1	17	63534220	63637151	FALSE	31	-0.0257856285600676	8	400	81151920	1	2	1	1	2	1	81151520	1	1207	412	52	FALSE	DIPLOID	PASS
HN002-T2	AC004817.1	14	71683031	71683462	FALSE	28	-0.0364718242722966	5	19000500	107288850	1	2	1	1	2	1	88288350	1	630	2	0	FALSE	DIPLOID	PASS
HN002-T2	AC004824.2	1	17655507	17676070	FALSE	2	-0.02014685956208	6	841100	47010406	1	2	1	1	2	1	46169306	1	662	82	36	FALSE	DIPLOID	PASS
HN002-T2	AC004832.3	22	30805244	30824977	FALSE	36	-0.0212859013700162	9	16050500	51209250	1	2	1	1	2	1	35158750	1	449	79	0	FALSE	DIPLOID	PASS
HN002-T2	AC004899.1	7	48887362	48891221	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	15	1	FALSE	GAIN	PASS
HN002-T2	AC004922.1	7	98923502	98992276	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	274	4	FALSE	GAIN	PASS
HN002-T2	AC004997.1	22	30681227	30695471	FALSE	36	-0.0212859013700162	9	16050500	51209250	1	2	1	1	2	1	35158750	1	449	58	6	FALSE	DIPLOID	PASS
HN002-T2	AC005020.2	7	99156318	99205433	FALSE	17	0.484974045860797	13	11200	159125150	0.866057241718663	3	1	0.866057241718663	3	1	159113950	2	925	197	1	FALSE	GAIN	PASS
HN002-T2	AC005041.1	2	74620963	74648789	FALSE	4	-0.0382438958176512	3	10650	243042550	1	2	1	1	2	1	243031900	1	1274	112	1	FALSE	DIPLOID	PASS
